protocol_type,service,flag,src_bytes,dst_bytes,num_failed_logins,logged_in,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,dst_host_same_srv_rate,dst_host_diff_srv_rate,class
tcp,ftp_data,SF,491,0,0,0,0,0,1,0,0.17,0.03,normal
udp,other,SF,146,0,0,0,0,0,0.08,0.15,0,0.6,normal
tcp,private,S0,0,0,0,0,1,1,0.05,0.07,0.1,0.05,anomaly
tcp,http,SF,232,8153,0,1,0.2,0.2,1,0,1,0,normal
tcp,http,SF,199,420,0,1,0,0,1,0,1,0,normal
tcp,private,REJ,0,0,0,0,0,0,0.16,0.06,0.07,0.07,anomaly
tcp,private,S0,0,0,0,0,1,1,0.05,0.06,0.04,0.05,anomaly
tcp,private,S0,0,0,0,0,1,1,0.14,0.06,0.06,0.07,anomaly
tcp,remote_job,S0,0,0,0,0,1,1,0.09,0.05,0.09,0.05,anomaly
tcp,private,S0,0,0,0,0,1,1,0.06,0.06,0.05,0.06,anomaly
tcp,private,REJ,0,0,0,0,0,0,0.06,0.06,0.05,0.07,anomaly
tcp,private,S0,0,0,0,0,1,1,0.02,0.06,0.05,0.07,anomaly
tcp,http,SF,287,2251,0,1,0,0,1,0,1,0,normal
tcp,ftp_data,SF,334,0,0,1,0,0,1,0,1,0,anomaly
tcp,name,S0,0,0,0,0,1,1,0,0.06,0,0.07,anomaly
tcp,netbios_ns,S0,0,0,0,0,1,1,0.17,0.05,0.01,0.06,anomaly
tcp,http,SF,300,13788,0,1,0,0.11,1,0,1,0,normal
icmp,eco_i,SF,18,0,0,0,0,0,1,0,1,0,anomaly
tcp,http,SF,233,616,0,1,0,0,1,0,1,0,normal
tcp,http,SF,343,1178,0,1,0,0,1,0,1,0,normal
tcp,mtp,S0,0,0,0,0,1,1,0.1,0.05,0.09,0.05,anomaly
tcp,private,S0,0,0,0,0,1,1,0.06,0.05,0.07,0.06,anomaly
tcp,http,SF,253,11905,0,1,0,0,1,0,1,0,normal
udp,other,SF,147,105,0,0,0,0,1,0,0,0.85,normal
tcp,mtp,S0,0,0,0,0,1,1,0.01,0.06,0.01,0.06,anomaly
tcp,telnet,SF,437,14421,0,1,0,0,1,0,0.1,0.05,normal
tcp,private,S0,0,0,0,0,1,1,0.03,0.06,0.05,0.07,anomaly
tcp,http,SF,227,6588,0,1,0,0,1,0,1,0,normal
tcp,http,SF,215,10499,0,1,0,0,1,0,1,0,normal
tcp,http,SF,241,1400,0,1,0,0,1,0,1,0,normal
icmp,eco_i,SF,8,0,0,0,0,0,1,0,1,0,anomaly
tcp,finger,S0,0,0,0,0,1,1,0.28,0.07,0.23,0.04,anomaly
tcp,http,SF,303,555,0,1,0,0,1,0,1,0,normal
tcp,private,REJ,0,0,0,0,0,0,0.5,1,0,0.31,anomaly
udp,domain_u,SF,45,45,0,0,0,0,1,0,0.98,0.01,normal
udp,private,SF,105,147,0,0,0,0,1,0,0.12,0.05,normal
udp,domain_u,SF,43,43,0,0,0,0,1,0,1,0,normal
tcp,supdup,S0,0,0,0,0,1,1,0.08,0.06,0.07,0.07,anomaly
tcp,http,SF,324,2302,0,1,0,0,1,0,1,0,normal
tcp,uucp_path,S0,0,0,0,0,1,1,0.06,0.07,0.05,0.07,anomaly
tcp,ftp_data,S0,0,0,0,0,1,1,0.22,0.08,0.25,0.02,anomaly
tcp,Z39_50,S0,0,0,0,0,1,1,0.05,0.06,0.04,0.07,anomaly
tcp,smtp,SF,1591,372,0,1,0,0,1,0,0.81,0.02,normal
udp,other,SF,146,105,0,0,0,0,0.5,0.5,0.01,0.66,normal
tcp,http,SF,290,3006,0,1,0,0,1,0,1,0,normal
tcp,csnet_ns,S0,0,0,0,0,1,1,0.1,0.08,0.04,0.07,anomaly
udp,private,SF,28,0,0,0,0,0,1,0,0.31,0.02,anomaly
tcp,http,SF,255,861,0,1,0.02,0.02,1,0,1,0,normal
tcp,ftp_data,SF,334,0,0,1,0,0,1,0,1,0,anomaly
tcp,ftp_data,S0,0,0,0,0,1,1,0.07,0.05,0.02,0.07,anomaly
tcp,http,SF,302,498,0,1,0,0,1,0,1,0,normal
tcp,private,REJ,0,0,0,0,0,0,0.07,0.1,0.02,0.08,anomaly
udp,private,SF,28,0,0,0,0,0,1,0,0.01,0.02,anomaly
tcp,http,SF,220,1398,0,1,0,0,1,0,1,0,normal
udp,domain_u,SF,43,69,0,0,0,0,1,0,0.96,0.01,normal
udp,domain_u,SF,44,133,0,0,0,0,1,0,0.88,0.02,normal
icmp,eco_i,SF,8,0,0,0,0,0,1,0,1,0,anomaly
